,title,text,time,image,country,3let,countrycode
48, Κορονοϊός: Η διασπορά των 436 νέων κρουσμάτων - Σταθερά στο κόκκινο η Αττική ,Πώς κατανέμονται γεωγραφικά τα 436 νέα κρούσματα που ανακοίνωσε το απόγευμα της Δευτέρας ο ΕΟΔΥ.,2021-01-25 17:47:00,https://www.news247.gr/img/6735/7638455/697000/w140/140/covid.jpg,ελλάδα,,GR
49," Κορονοϊός: Η διασπορά των 436 νέων κρουσμάτων - Σταθερά στο ""κόκκινο"" η Αττική ",Πώς κατανέμονται γεωγραφικά τα 436 νέα κρούσματα που ανακοίνωσε το απόγευμα της Δευτέρας ο ΕΟΔΥ.,2021-01-25 17:47:00,https://www.news247.gr/img/2418/6190131/681000/w140/140/seismos1.jpg,ελλάδα,,GR
50, Νέος κανονισμός για τα διαβατήρια ιπποειδών ,Ενσωματώνονται στο εθνικό δίκαιο οι κανόνες που αφορούν στις μεθόδους αναγνώρισης των ιπποειδών μετά από ΚΥΑ που υπέγραψαν οι ο υπουργός Αγροτικής Ανάπτυξης και ο Αναπληρωτής υπουργός Οικονομικών.,2021-01-25 17:15:00,https://www.news247.gr/img/2942/9122562/615000/w140/140/untitled_1.jpg,ελλάδα,,GR
51, Έπεσαν οι υπογραφές για τα Rafale - Πότε θα έρθουν στην Ελλάδα ,"Την συμφωνία ύψους 2,3 δισ. ευρώ για την αγορά 18 μαχητικών αεροσκαφών Rafale υπέγραψαν ο υπουργός Άμυνας και η Γαλλίδα ομόλογός του",2021-01-25 17:10:00,https://www.news247.gr/img/3696/9122513/441000/w140/140/mitralexis.jpg,ελλάδα,,GR
52, Ντουμπάι: Εστιατόρια προσφέρουν εκπτώσεις στους εμβολιασμένους για τον κορονοϊό ,Έκπτωση 10% στον λογαριασμό δίνουν εστιατόρια στο Ντουμπάι στους πελάτες που έχουν κάνει την πρώτη δόση του εμβολίου κατά της COVID-19. Η έκπτωση αυξάνεται σε 20% αν έχουν κάνει και τις δύο.,2021-01-25 16:45:00,https://www.news247.gr/img/5171/9122425/542000/w140/140/dubai.jpg,ελλάδα,,GR
53, Ζάκυνθος: Σεισμός 4 βαθμών αναστάτωσε το νησί ,"Ο σεισμός, μεγέθους 4 βαθμπός της κλόμακας Ρίχτερ, σημιεώθηκε λίγο μετά τις 2.30 το μεσημέρι και έγινε αισθητός σε όλο το νησί.",2021-01-25 16:34:00,https://www.news247.gr/img/3729/9122430/832000/w140/140/untitled_10.jpg,ελλάδα,,GR
54, Κομισιόν: Προτείνει πιο αυστηρά μέτρα για τα ταξίδια ,Αυστηρότερα μέτρα για ταξιδιώτες από περιοχές υψηλότερου κινδύνου προτείνει η Ευρωπαϊκή Επιτροπή. ,2021-01-25 16:26:00,https://www.news247.gr/img/4615/9122489/229000/w140/140/airport.jpg,ελλάδα,,GR
55, Σωτήρης Μητραλέξης: Να ανοίξει στη Βουλή ο φάκελος της χρεωκοπίας ,"Ο Σωτήρης Μητραλέξης, μέλος Πολιτικού Σχεδιασμού του ΜέΡΑ25, γράφει στο NEWS 24/7για το δημόσιο χρέος της χώρας και ζητεί να ανοίξει ο φάκελος στη Βουλή.",2021-01-25 16:25:00,https://www.news247.gr/img/2790/9101397/234000/w140/140/iliopoulos.jpg,ελλάδα,,GR
56, Μακρόν: Γίνονται κινήσεις για τον καλύτερο έλεγχο της πανδημίας ,Τι δήλωσε ο Γάλλος πρόεδρος για την συνολική διαχείριση της πανδημίας από την Ευρωπαϊκή Ένωση και την αλλαγή σκυτάλης στις ΗΠΑ. ,2021-01-25 16:02:00,https://www.news247.gr/img/5008/9087032/175000/w140/140/macron2.jpg,ελλάδα,,GR
57, Optima bank: Νέα καταστήματα σε Αιγάλεω και Παγκράτι ,Η τράπεζα έχει τηρήσει τα αυστηρά χρονοδιαγράμματα που αφορούν το επενδυτικό της πλάνο φτάνοντας αισίως τα 25 καταστήματα σε όλη την Ελλάδα.,2021-01-25 16:02:00,https://www.news247.gr/img/3901/7671186/107000/w140/140/human_content.jpg,ελλάδα,,GR
